n,p,Algorithm,weight,ratio,time,gap
1660,0.1,Path-Growing,8166.4,0.9839036144578313,0.2012761116027832,0.016096385542168672
1660,0.1,Improved-Path,8182.8,0.9858795180722894,0.17865948677062987,0.014120481927710843
1660,0.1,Suitor,8150.7,0.9820120481927711,0.263686990737915,0.017987951807228918
1760,0.1,Greedy,8681.8,0.9865681818181817,0.3863972663879395,0.01343181818181818
1760,0.1,LAM,8662.1,0.9843295454545455,0.31037015914916993,0.015670454545454546
1760,0.1,Path-Growing,8667.5,0.9849431818181819,0.2279057502746582,0.015056818181818182
1760,0.1,Improved-Path,8684.7,0.9868977272727275,0.2092496156692505,0.01310227272727273
1760,0.1,Suitor,8657.5,0.9838068181818181,0.2896411895751953,0.01619318181818182
1860,0.1,Greedy,9188.0,0.9879569892473118,0.41049492359161377,0.012043010752688172
1860,0.1,LAM,9162.9,0.985258064516129,0.3648125886917114,0.014741935483870965
1860,0.1,Path-Growing,9165.1,0.985494623655914,0.2521978378295898,0.01450537634408602
1860,0.1,Improved-Path,9181.7,0.9872795698924731,0.2303990602493286,0.012720430107526881
1860,0.1,Suitor,9159.7,0.9849139784946235,0.3319443702697754,0.015086021505376343
1960,0.1,Greedy,9685.2,0.9882857142857144,0.5594645738601685,0.011714285714285714
1960,0.1,LAM,9659.5,0.9856632653061224,0.40298597812652587,0.014336734693877551
1960,0.1,Path-Growing,9658.9,0.9856020408163264,0.27941391468048093,0.01439795918367347
1960,0.1,Improved-Path,9679.9,0.9877448979591836,0.2606430292129517,0.012255102040816326
1960,0.1,Suitor,9655.3,0.9852346938775511,0.3689471006393433,0.014765306122448979
500,0.1,Greedy,2384.6,0.9554818650665922,0.02227604389190674,0.044518134933407734
500,0.1,LAM,2368.0,0.9488309623751645,0.01759514808654785,0.051169037624835614
500,0.1,Path-Growing,2360.8,0.9459488154183446,0.01680910587310791,0.05405118458165546
500,0.1,Improved-Path,2378.8,0.9531601520061663,0.011262941360473632,0.04683984799383371
500,0.1,Suitor,2365.1,0.9476642291548905,0.022110629081726074,0.05233577084510952
500,0.5,Greedy,2476.5,0.9906,0.12517728805541992,0.009400000000000002
500,0.5,LAM,2473.4,0.9893599999999999,0.10515553951263427,0.01064
500,0.5,Path-Growing,2473.6,0.9894399999999999,0.07897491455078125,0.01056
500,0.5,Improved-Path,2477.6,0.9910400000000001,0.07686069011688232,0.00896
500,0.5,Suitor,2471.6,0.98864,0.10816326141357421,0.01136
500,0.9,Greedy,2488.3,0.9953200000000001,0.24935319423675537,0.004680000000000001
500,0.9,LAM,2486.6,0.9946400000000001,0.3272562980651855,0.005359999999999999
500,0.9,Path-Growing,2488.6,0.99544,0.14909517765045166,0.004560000000000001
500,0.9,Improved-Path,2488.9,0.99556,0.13799362182617186,0.00444
500,0.9,Suitor,2486.1,0.99444,0.20112967491149902,0.005560000000000001
